èíslo úètu;Popis;Poznámka
SK2381800000007000648650;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo investícií, regionálneho rozvoja a informatizácie.  Úèet pre ÚVA BA
SK9281800000007000648669;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo investícií, regionálneho rozvoja a informatizácie.  Úèet pre ÚVA ZV
SK7081800000007000648677;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo investícií, regionálneho rozvoja a informatizácie.   Úèet pre ÚVA KE
SK2681800000007000648693;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK9881800000007000649434;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK6381800000007000648415;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo investícií, regionálneho rozvoja a informatizácie.  Úèet pre ÚVA BA
SK1981800000007000648431;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo investícií, regionálneho rozvoja a informatizácie.  Úèet pre ÚVA ZV
SK6681800000007000648458;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo investícií, regionálneho rozvoja a informatizácie.   Úèet pre ÚVA KE
SK9781800000007000648482;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK7581800000007000648490;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK2481800000007000678411;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK7181800000007000678438;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK7181800000007000678729;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK7581800000007000678657;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK3181800000007000678673;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK9181800000007000691464;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK4781800000007000691480;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK6981800000007000691472;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK9081800000007000648511;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK9381800000007000648554;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK1881800000007000648837;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK0581800000007000649071;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK4981800000007000649346;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK7281800000007000649223;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK0581800000007000693400;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK4881800000007000447410;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK6981800000007000535787;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK4781800000007000535795;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK8481800000007000535808;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK6281800000007000535816;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK6281800000007000538144;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK4081800000007000538152;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo dopravy a vıstavby.  Úèet pre ÚVA BA
SK1881800000007000538160;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo dopravy a vıstavby.  Úèet pre ÚVA ZV
SK8781800000007000538179;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo dopravy a vıstavby.   Úèet pre ÚVA KE
SK6581800000007000538187;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK5481800000007000679326;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK1081800000007000679342;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK8581800000007000679350;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK8681800000007000707171;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK0381800000007000447541;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK4081800000007000535824;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK1881800000007000535832;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK9381800000007000535840;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK6581800000007000535859;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK6281800000007000543576;úètet pod¾a § 4 ods. 2 písm. k) zákona;Nezrovnalosti a iné vratky za zdroje EÚ a ŠR PRO 2014 -2020: ŠR zdroj
SK4081800000007000543584;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo práce, sociálnych vecí a rodiny.   Úèet pre ÚVA KE
SK1881800000007000543592;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre zmluvné pokuty
SK5581800000007000543605;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo práce, sociálnych vecí a rodiny.  Úèet pre ÚVA ZV
SK3381800000007000543613;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo práce, sociálnych vecí a rodiny.  Úèet pre ÚVA BA
SK1381800000007000679385;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK8881800000007000679393;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK2881800000007000679406;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK6581800000007000662153;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK0781800000007000634582;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK8281800000007000634590;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK2681800000007000634531;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK5181800000007000634566;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK2281800000007000634603;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK4781800000007000634638;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK9281800000007000535955;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK4881800000007000535971;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK7081800000007000535963;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK2881800000007000447867;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK9581800000007000535998;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK6381800000007000538902;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo školstva, vıskumu, vıvoja a mládee.  Úèet pre ÚVA BA
SK7081800000007000538873;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo školstva, vıskumu, vıvoja a mládee.  Úèet pre ÚVA ZV
SK4881800000007000538881;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo školstva, vıskumu, vıvoja a mládee.   Úèet pre ÚVA KE
SK1381800000007000538929;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK4181800000007000538910;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK5481800000007000679035;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK9881800000007000679019;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK2981800000007000679000;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK3681800000007000707198;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK2081800000007000447138;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK1781800000007000535656;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK3981800000007000535648;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK1481800000007000535613;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK8981800000007000535621;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK5781800000007000713416;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK5981800000007000693398;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK7481800000007000693419;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK5981800000007000688548;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK4381800000007000663519;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK5281800000007000490697;úèet pod¾a § 4 ods. 2 písm. aa) zákon;úèet na ktorı smerujú platby oslobodené od transakènej dane, s úèinnosou od 15.5.2025 
SK2165000000000020535555;úèet pod¾a § 4 ods. 2 písm. aa) zákon;úèet na ktorı smerujú platby oslobodené od transakènej dane, s úèinnosou od 15.5.2025 
SK4365000000000020535547;úèet pod¾a § 4 ods. 2 písm. aa) zákon;úèet na ktorı smerujú platby oslobodené od transakènej dane, s úèinnosou od 15.5.2025 
SK3665000000000020545761;úèet pod¾a § 4 ods. 2 písm. aa) zákon;úèet na ktorı smerujú platby oslobodené od transakènej dane, s úèinnosou od 15.5.2025 
SK8365000000000020545788;úèet pod¾a § 4 ods. 2 písm. aa) zákon;úèet na ktorı smerujú platby oslobodené od transakènej dane, s úèinnosou od 15.5.2025 
SK4165000000000020549260;úèet pod¾a § 4 ods. 2 písm. aa) zákon;úèet na ktorı smerujú platby oslobodené od transakènej dane, s úèinnosou od 15.5.2025 
SK8465000000000020551299;úèet pod¾a § 4 ods. 2 písm. aa) zákon;úèet na ktorı smerujú platby oslobodené od transakènej dane, s úèinnosou od 15.5.2025 
SK6165000000000020545796;úèet pod¾a § 4 ods. 2 písm. aa) zákon;úèet na ktorı smerujú platby oslobodené od transakènej dane, s úèinnosou od 15.5.2025 
SK8502000000000008402012;úèet pod¾a § 4 ods. 2 písm. aa) zákon;úèet na ktorı smerujú platby oslobodené od transakènej dane, s úèinnosou od 15.5.2025 
SK2865000000000020545614;úèet pod¾a § 4 ods. 2 písm. aa) zákon;úèet na ktorı smerujú platby oslobodené od transakènej dane, s úèinnosou od 15.5.2025 
SK6902000020140015805012;úèet pod¾a § 4 ods. 2 písm. aa) zákon;úèet na ktorı smerujú platby oslobodené od transakènej dane, s úèinnosou od 15.5.2025 
SK7065000000000020535934;úèet pod¾a § 4 ods. 2 písm. aa) zákon;zmena od 15. mája 2025 – vımaz úètu
SK9465000021100020545796;úèet pod¾a § 4 ods. 2 písm. aa) zákon;úèet na ktorı smerujú platby oslobodené od transakènej dane, s úèinnosou od 15.5.2025 
SK7465000005020020545796;úèet pod¾a § 4 ods. 2 písm. aa) zákon;úèet na ktorı smerujú platby oslobodené od transakènej dane, s úèinnosou od 15.5.2025 
SK3365000013960020545796;úèet pod¾a § 4 ods. 2 písm. aa) zákon;úèet na ktorı smerujú platby oslobodené od transakènej dane, s úèinnosou od 15.5.2025 
SK6065000020730020545796;úèet pod¾a § 4 ods. 2 písm. aa) zákon;úèet na ktorı smerujú platby oslobodené od transakènej dane, s úèinnosou od 15.5.2025 
500208;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Daò z príjmu fyzickej osoby - rezident
500216;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Daò z príjmu fyzickej osoby - nerezident
500224;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Daò z príjmov právnickej osoby so sídlom v tuzemsku
500232;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Daò z príjmov právnickej osoby so sídlom v zahranièí
500240;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Daò z pridanej hodnoty
500259;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Daò z príjmov fyzickıch osôb zo závislej èinnosti
500267;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Daò z príjmov vyberaná zrákou
500363;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Daò z emisnıch kvót
500398;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Daò z pridanej hodnoty z elektronickıch sluieb
500427;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
500443;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
500478;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
500654;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
500662;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
500670;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
500689;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Vratky prostriedkov poukázanıch na verejnoprospešnı úèel
500697;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
500718;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
500734;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
500742;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
500750;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
500769;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
501235;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
500806;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Odvod pokút uloenıch v súdnom konaní vykonávanı súdmi
500822;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Odvod vınosov z poskytnutıch prostriedkov ŠR obciam vykonávanı obcami
500881;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
500902;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
500910;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
500929;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
500937;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
500945;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
500953;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
501059;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
501067;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
501083;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
501382;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Osobitnı odvod z podnikania v regulovanıch odvetviach
501112;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
501120;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Zabezpeèenie dane na DPFO
501139;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Zabezpeèenie dane na DPPO
501147;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
501155;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
501163;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Daò z motorovıch vozidiel
501198;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Odvod z nadmernıch príjmov
501219;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Daò z poistenia
501243;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;bez popisu
501374;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Odvod èasti poistného
501366;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Solidárny príspevok
501390;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Daò z poistenia
501403;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Daò z finanènıch transakcií
501278;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Zábezpeka na DPH pre všetky CÚ
500005;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - SPD z elektriny tuzemsko C
500013;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - SPD z minerálnych olejov – tuzemsko C
500021;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - SPD z liehu – tuzemsko C
500048;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - SPD z piva – tuzemsko C
500056;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - SPD z tabakovıch vırobkov – tuzemsko C
500064;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - DSPD z uhlia - tuzemsko C
500072;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - SPD z vína – tuzemsko C
500080;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - SPD zo zemného plynu – tuzemsko C
500101;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Depozit – daòová zábezpeka všetkıch SPD Banská Bystrica
500128;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Depozit – daòová zábezpeka všetkıch SPD Bratislava
500136;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Depozit – daòová zábezpeka všetkıch SPD Michalovce
500144;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Depozit – daòová zábezpeka všetkıch SPD Košice
500152;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Depozit – daòová zábezpeka všetkıch SPD Trnava
500160;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Depozit – daòová zábezpeka všetkıch SPD ilina
500179;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Depozit – daòová zábezpeka všetkıch SPD Nitra
500187;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Depozit – daòová zábezpeka všetkıch SPD Prešov
500195;predèíslie úètu pod¾a § 4 ods. 2 písm. a) zákona;Predèíslie príjmového úètu v Štátnej pokladnici - Depozit – daòová zábezpeka všetkıch SPD Trenèín
